text,pattern category
Cart will expire in 04:53 minutes!,urgency
Only 1 Left in this Size!,scarcity
"FREE delivery Fri, 13 Mar on ₹499 of items fulfilled by Amazon",none
 All Licensed ,none
I would like to join Backstage Pass & agree to the Terms & Conditions & to receive emails & other promotional offers.,forced_continuity
 My Project Lists ,none
Victoria Victoria Beckham,none
We are not currently accepting orders from outside of the UK.,none
Book your next trip for less,none
 Watercolour Brushes Toggle category Watercolour Brushes ,none
"Buy now, you wont lose out",fake_urgency
Selling fast! Add to bag 7 times in the last 48 hours.,social_proof
1 left – almost sold out!,fake_scarcity
JFN Scallop V Neck Solid Casual T-Shirt/Tee,none
Bathroom Lighting,none
"Free week, then ₹99 weekly auto-debit.",forced_continuity
$132.90 $99.00,misdirection
View All Homeware,none
"Try 3 months for ₹49, then ₹199/month after",forced_continuity
24 people have purchased this wine today,social_proof
"Join Gold to waive the ₹2,000 cover charge.",obstruction
"Someone in San diego, United States just bought Gemfield Watch 15 days ago",social_proof
Your Captain has already traveled 1.5 km to reach you. Are you sure you want to cancel?,confirmshaming
"ONLY 5 LEFT, HURRY!",scarcity
113 people have viewed in the last 24hrs,social_proof
Highly rated by recent guests,fake_scarcity
Recurring billing enabled for your convenience. ₹649/month.,forced_continuity
"Only 5 left , In Stock",scarcity
Natural Backgrounds,none
Arthritis Aids,none
No payment today. You'll pay when you stay.,none
Camo Shirts & T Shirts,none
Patient Transfer Devices,none
40% OFF EVERYTHING* ENTER: 40PLT + FREE SHIPPING ON ALL ORDERS OVER $80,urgency
PomeloFashion born in AsiaOn trend. Online. On the go.,none
 Hairy Chest T-Shirt And Shorts Combo ,none
"With Pro, unlock: premium tools to create faster",none
Welcome To Hotter us,none
Herbaceous oil rich in anti-aging polyphenols.,none
"We made cancelling easy – just chat, email, call, and confirm in writing.",obstruction
Pleated Skirts,none
 Box Springs & Foundations,none
"Hurry, Only 4 Left In Stock. Buy Now!",scarcity
Someone in Keilor East bought a Piranta-Edge Skinning Knife - Blaze - Havalon Knives54 minutes ago,social_proof
Nectar,none
2 items left,scarcity
ShopClose menu,none
"No Thanks, I Don't Want a Discount",misdirection
"Hurry! Sale Ends In:

02:59:50",urgency
Aids mental processing†,none
Romantic Ball Gown Tulle Spaghetti Sleeveless Tier Flower Dirl Dress,none
Game Extraction & Prep,none
Guest Favourite,fake_scarcity
TWO FREE PILLOWS AND 30% OFF WITH PROMO CODE,misdirection
"Yearly: Best Value - Save ₹1,300",none
9 items left,scarcity
 Other Snacks ,none
My AccountSign-in to your account,none
Only 1 Left !,scarcity
Royal Python Vivariums,none
 Price Low To High ,none
"Ida in Tangerang Selatan, Indonesia purchased Iseya VG10 G-Series 33 layer Damascus Japanese Chef's Santoku Knife , 180mm about 1 hour ago",social_proof
LESS THAN 8 LEFT IN STOCK!,scarcity
 family ,none
Sale ends in 0:02:00 – don't miss!,fake_urgency
30 people have purchased this item,social_proof
Return my item,none
11 people viewed this today!,social_proof
"Someone in DOVER, United States just bought Crew 15 mins ago",social_proof
New Rifles,none
Hurry! Only 2 left at this price!,scarcity
Irresistable Deals,none
Limited edition – only 4 pieces remain.,fake_scarcity
Your shopping bag is empty...,none
Free 60 day VIP trial membership with this order. Cancel anytime.,hidden_subscription
Toddler Girl Jumpsuits and Rompers,none
#1 Best Seller,none
Wait! Take 10% off Your First Order Deal Expires Soon!,urgency
"No thanks, I don't like deals.",misdirection
 Lens Manual Washer ,none
"In stock, only 1 products left",scarcity
Low Stock – Selling Fast,scarcity
gifts for wife,none
clear text ,none
251 people are viewing this right now,social_proof
History Of The NRA,none
 View product View SAA Standard Membership Renewal - Credit/Debit Card - One Year Only ,none
Last purchase was 18 minutes ago by someone from Dublin,social_proof
ONLY 5 LEFT IN STOCK!,scarcity
FLAT ₹20 OFF* on train bookings,none
Personalize your doll,misdirection
I'll Shop Without A Discount,misdirection
Wallets ,none
Lock this price in 01h:20m:59s,fake_urgency
"No Thanks, I Don't Want a Free Gift",misdirection
"No, I'll pay ₹45 for delivery",confirmshaming
Cellular/Honeycomb Shades,none
"Someone in Paris, France just purchased a Kanpeki Knife Set",social_proof
 Supply & Demand ,none
 Highlight Hover ,none
TSX Remotes,none
 Products ,none
 Write a reviewAsk a question,none
"THE COMPETITION $1,299.99",misdirection
"1 left, order now!",scarcity
"Clothes, Shoes & Accessories",none
"Hurry, only 5 left",scarcity
HURRY! ONLY 58 LEFT IN STOCK!,scarcity
Trial auto-renews at ₹599 after 7 days.,forced_continuity
 Excellent service all round ,none
Skin Concerns,none
 Travel Accessories ,none
"Someone from South Gate, California just purchased the Admiral JR / Spektrum Servo Connector Plug Set (Male and Female - 2 Pairs)",social_proof
94% offers claimed. Hurry up!,scarcity
Promaster City Remotes,none
Price Guaranteed For DAYS/HRS/MINS/SECS,urgency
Only 5 item(s) left.,scarcity
92 customers bought this in the last 48 hours,social_proof
DON'T LET 'EM GET AWAY Several people have recently viewed this item.,social_proof
Celebrity Synthetic Wigs,none
Up to ₹5000 instant discount,none
Anniversary Gifts ,none
"Roommates agreement... need i say more? this is a great poster for the walls of any house that has more than one person living in it. if you're alone, get it all the same - it'll make you laugh at any given time :)",none
135 people have this in their cart,social_proof
Only 5 spots left at this price. Book now!,fake_scarcity
MoTrail,none
 Sold out ,none
About Bob's,none
I do not want to protect my item,misdirection
 Optimized Patch System ,none
"Before you check out, can we tempt you?",misdirection
Experience premium today.,hidden_subscription
There are only 1 item left in stock.,scarcity
Thank you for posting a question!,none
Hair Care Remedies,none
🔥 9 people are viewing this.,social_proof
 Articles: Medical Matters ,none
[new-troh-pick],none
LIMITED QUANTITY,scarcity
Limited time offer.,urgency
"Rs 4,013 (Retail Discount) + Rs 2,997 (Limited Time Coupon)",urgency
Enjoy FREE shipping with WSJwine Advantage,hidden_subscription
"Long Dress Style Beach Cover Up With Lace Detail Jessica in Metairie, United States",social_proof
HURRY! YOUR 10% OFF EXPIRES IN 29:43,urgency
Add and save!,misdirection
4 sold in last 5 hours,social_proof
Limited time deal – ends in 0:02:45,fake_urgency
FLAT 50% OFF* on Any One Cab Add-on,none
Flash sale ends in 0:03:00 – act now!,fake_urgency
Your order is reserved for 09:57 minutes!,urgency
 Sports Bras ,none
NFL Enterprises LLC. All Rights Reserved.,none
Nursing chairs,none
Strip Softbox,none
LIMITED TIME DEAL!,urgency
TRE by Natalie Ratabesi,none
 Best-Selling Products ,none
Wait! Don't go – you'll lose ₹1000 cashback.,confirmshaming
 Menthol Flavors ,none
 Terms of Use Privacy Policy Do Not Sell My Personal Information Request My Personal Information ,none
Don't want free upgrade? Continue with basic plan.,confirmshaming
 Football Boots ,none
HURRY! ONLY 2 LEFT!,scarcity
"We're sorry, this store is closed.",none
Only a few left of this product!,scarcity
In Stock - Limited Quantity,scarcity
Summary,none
Sale ends soon,urgency
Default refund option sends money to Klarna balance,obstruction
Get 5% cashback,none
Free trial available. Payment details required.,hidden_subscription
U.S. Vape Mail Ban FAQs,none
Extremely high demand: expect 2-4 weeks for it to arrive (to be safe). Limit 4 per person!,scarcity
"No thanks, I'll lose the ₹1500 saving.",confirmshaming
only 2 left in stock,scarcity
Hurry only 2 left,scarcity
Returns Information,none
Brand ,none
Marketing emails enabled by default. You can unsubscribe anytime.,hidden_subscription
 Netherlands Antilles USD,none
Your plan will renew automatically using your saved payment method.,forced_continuity
"EastwoodModern, sleek and enchanting, the Eastwood Collection provides comfortable seating while still looking mid-century magnificent.",none
 Upcoming Events ,none
Your first payment will be due on the day of your purchase.*,none
Long and Tall,none
Different Types of Gold,none
A very fun outfit for a less formal event like a sangeet! Husband said the bell bottom type pants were fun to dance in :),none
FREE SHIPPING // FOR A LIMITED TIME ONLY,urgency
Stay on Next.co.uk,none
LIMITED TIME OFFER MEN'S CHINOS & 5-POCKET PANTS BUY 2 FOR $59.90 EACH SHOP NOW,urgency
"No thanks! I'd rather join the """"Pay Full Price for Things"""" club.",misdirection
1day21:04:58,urgency
 Eye Protection,none
DEAL ENDS IN 40:55:13,urgency
Flash sale: 0:02:10 remaining on this product.,fake_urgency
Only 5 left in stock,scarcity
"To cancel account, send a notarized letter within 14 days.",obstruction
(only 5 left),scarcity
ONLY 1 LEFT IN STOCK!,scarcity
In Stock (8) Left,scarcity
Your order is reserved for 09:54 minutes!,urgency
 Payment Methods ,none
"Under ₹1,000",none
Premium Auction Event,none
Over 200 views in 24 hrs,social_proof
 Outdoor Recreation ,none
Traditional Snacks,none
Only 3 left.,scarcity
Only 1 item left!,scarcity
"Monira in Doha, Qatar purchased a LilyVanity™ Velvet Box",social_proof
 Track your order by entering your order number and email below or if you would like to create an account or log in (click here) ,none
Top Deals On Tech,none
NRA Whittington Center Store,none
Your plan auto-renews every 30 days. No further action needed.,forced_continuity
Tactical Rifles,none
5 LEFT,scarcity
Starting at₹ 1.00‬,none
About Cheryl's Business Gifts,none
About Ruth Hogan,none
Your order will be reserved for 6:56 minutes.,urgency
For You: Up to ₹40 OFF*,none
"14-day trial, then ₹499 monthly auto.",hidden_subscription
This chart should be used as a guide only. Due to each manufacturer’s size scale inconsistencies may occur.,none
You can feel confident that your new box each month is helping you celebrate pregnancy and protect your bump!,none
See what guests loved the most,none
Show similar items,none
Hurry! Only 15 left!,scarcity
"No, thanks. I don't like great deals.",misdirection
Only 34 Left!,scarcity
33 sold in last 12 hours.,social_proof
The host will stop accepting bookings for your dates soon,fake_urgency
Only 1 left in stock - Order soon,scarcity
Last 6 in stock – limited availability.,fake_scarcity
6 customers have this in their basket,social_proof
 Shoe Care ,none
80% offers claimed. Hurry up!,scarcity
Scarves & Snoods,none
 Functional Marketing Cookies,none
Battery life: Up to 12 hours of continuous use.,none
Purchased 8 times in the last few days.,social_proof
 Gift Cards Collection ,none
Complete your purchase within the next 12:18 minutes and receive 10% off,urgency
Rebecca in Buffalo just bought Sateen Twill Swatchabout 1 hour ago,social_proof
Use an organization email to easily collaborate with teammates,none
Stay Connected,none
9 people are looking right now,fake_scarcity
With 1-year Care Subscription 10 days history,misdirection
I've recommended The Keeper of Lost Things to everyone.,none
"NO THANKS, I DON’T WANT 15% OFF",misdirection
"Flash Sale Alert! You can now buy Utorch Corridor Porch Aisle Lights from Gearbest.com for only $7.99 (47% off). Hurry up, limited time offer!",urgency
 Bra Panty Set ,none
Primary Arms Scopes,none
Photography Projector,none
"Hurry, only 1 left!",scarcity
Tight Bud,none
Used Leica Cameras,none
6 others have already bought this deal today!,social_proof
Wish Your Loved Ones Instantly with Ferns N Petals International Services,none
I'd rather not save,misdirection
"Customize your phone with hundreds of grips, cases, wallets, and more.",none
Get started for free. Upgrade happens automatically.,hidden_subscription
"Sudha rana from Jaipur bought this product, 23 Mins ago.",social_proof
Other Promotions,none
No thanks. I prefer paying full price.,misdirection
"Carol in St. Louis, Missouri bought Original USB Charging Anti-Theft Backpack",social_proof
Plan auto-renews to avoid service interruption.,forced_continuity
ShoesBootsCasual ShoesFormal ShoesSandals & Flip-flopsShoe Care & AccessoriesSlippersSneakers & CanvasSports Shoes,none
Items will be reserved in your cart for 19:10,urgency
James from Colonia purchased a,social_proof
 Accessibility statement ,none
Your order is reserved for 09:58 minutes!,urgency
"You may change the items in your order, or cancel the Smartship at anytime, up until 3 days prior to the scheduled ship date of your Smartship by calling Customer Service at 1-800-518-0284.",obstruction
Baby Size Guide,none
"touching, funny and romantic",none
Someone in New Lynn bought a Kogan A1 Earphones with Inline Control for IOS/Android 1 hour ago.,social_proof
4 people have purchased this item,social_proof
57 PEOPLE HAVE LOOKED AT THIS TODAY,social_proof
Protect Your Gear,misdirection
Golf Remotes,none
Amazing Deal for You: Grab FLAT 10% OFF* ,none
 Sustainably made,none
Last chance – only 4 items remaining.,fake_scarcity
Get it fast! 14 added to bag today,social_proof
Set up Accounts Center to sync your profile info and find your friends.,none
Only 5 Left in Stock. Buy Soon!,scarcity
Subscribe & Save,misdirection
"Nah, I like paying full price",misdirection
"There is no commitment and no minimum to buy. Please note exact shipment times may vary. To customize this program or future shipments, call customer service anytime at 1-800-THICKEN (844-2536).",obstruction
Polycarbonate,none
 Subscribe To Us Subscribe ,none
" ... It covers love and loss, friendship and pain through ",none
"Business, Office & Industrial",none
Join the Team,none
"To start your return, simply click on the following button and add your return details. Once the form is filled, you will receive an email with shipping instructions for how to ship the item(s) to our warehouse.",none
Availability: Only 4 Left!,scarcity
"No thanks, I'll pay full price!",misdirection
No thanks. I'd rather pay full price.,misdirection
In demand,scarcity
Aromatherapy ,none
You can either livechat or email our support team with any questions or concerns. We are always ready to help. ,none
 Women's Sandals ,none
"We are one of the best online printing technology & solution company successfully serving local and international customers to cherish the joy, love and precious moments in life with various products. Being an instrument to spread your joy and love in a beautiful way we take pride in providing the best quality services. ",none
Printed ,none
 help@postergully.com,none
Only 14 left,scarcity
"Sign in, save money",none
"Marc in Newton, United States purchasedKTM Stand Plate Large KTM...",social_proof
GCC Compliance,none
Only 7 remaining – price rises soon.,fake_scarcity
161 people have viewed this item,social_proof
Grab up to ₹50 OFF* on booking your first train ticket,none
Trowels & Putty Knife,none
 A Date With Duchess ,none
"Jessica in Orange, United States purchased a Black 1920s Sequin Maxi Flapper Dress 12 minutes ago",social_proof
FOR THE ULTIMATE EXPERIENCE: (Can select more than one),misdirection
 Subscribe ,none
 Watches & Accessories ,none
Tree Frog Terrariums,none
232 people are viewing this offer!,social_proof
LOW STOCK (ONLY 10 LEFT!),scarcity
Glow Gear,none
FilterSortFeaturedPrice: Low to HighPrice: High to LowAlphabetical: A-ZAlphabetical: Z-A,none
Hair Care Sets,none
HURRY! £32.99 UK DELIVERY ENDS SOON,urgency
₹1.5 Crores (1st Prize),fake_scarcity
Exotic Bird Food,none
High-Waisted Shorts,none
"No thanks, I'll pay full price",misdirection
"No Thanks, I don't like free stuff.",misdirection
Top Deals,none
3 Left!,scarcity
Up to 80% off,none
Enter your email VIEW MY CODE OFFER EXPIRES IN: 0 minutes 00 seconds EXTRA 10% OFF,urgency
iPhones,none
 EVO SP All EVO SP parts and accessories ,none
 View all Oil & Acrylic Brushes categories ,none
Sale ends in 0:01:45 – don't wait!,fake_urgency
 Sign in & make your visit all about you ,none
Save up to 60% on all TLDs we offer,none
sweatshirts,none
Only 2 units left in stock,scarcity
View Alternatives,none
"NO, I'D RATHER PAY FULL PRICE",misdirection
SAA Standard Membership - Credit/Debit Card - Automatic Annual Fee,none
Someone in Yanchep bought a 52mm Mechanical 'Performance' Boost Gauge - Blue/White 9 seconds ago,social_proof
 Tony Bianco ,none
Availability: Low Stock,scarcity
This item is in high demand.,scarcity
994 items sold this hour.,social_proof
"894 Claimed! Hurry, only a few left!",scarcity
"To qualify, simply verify your status during checkout on the payment step. We verify through ID.me, our trusted technology partner for secure digital identity verification. ",none
Pay weekly ,none
Allow All,none
Screen print graphics,none
Gold Collection,none
2 LEFT,scarcity
Bring your website to life in minutes.,none
Heat Mats & Strips,none
Deal expires in 0:00:08 – hurry up!,fake_urgency
ONLY 1 WATCH LEFT,scarcity
'Keeper of Lost Things',none
Only 8 left in stock,scarcity
"We'd like to send you weekly emails packed full of our lovely products, clearance goodies and cool stuff to win. You can unsubscribe at any time. If you DON'T want to receive these emails, please tick this box. We'd like to send you the occasional brochure so you can get a regular fix of our lovely product! You can unsubscribe at any time. If you DON'T want to receive these brochures, please tick this box. We'd like to introduce you to other brands you might love who will post you the occasional brochure. You can opt out of this at any time. If you DON'T want to receive these brochures, please tick this box.",misdirection
"PROTECT YOUR SOFA! Your Humblebum Sofa in Thatch house fabric will look wicked! Why not add Castelan Fabric Protection to cover your new squish machine against wine spillages, messy TV dinners, and other disasters for just just £80?",misdirection
Someone from Norway purchased a Super FG Grater - 12x Faster - 15% OFF,social_proof
Tube Tops,none
 Home » ,none
Limited-time Deal,scarcity
"Location: Kansas City, MO",none
 韓國香氛 Cosmic Mansion ,none
Only 2 left in stock,scarcity
Only 1 left in stock.,scarcity
Only 1 Left!,scarcity
Last chance! Only 1 left,scarcity
Cross Body,none
SAVE 57% WITH ANNUAL PLAN,none
"No thanks, I don't want the free gift.",misdirection
We're offline,none
HURRY! ONLY 31 LEFT IN STOCK.,scarcity
Only 3 items left,scarcity
"No, I’m okay with fewer benefits.",confirmshaming
"In Stock, Only 1 Left!",scarcity
Only 33 left,scarcity
"The Dry Direct Ultimate is a great product, the best we have found. Customer service is very efficient, and deliveries have always been on time. We are very satisfied with Parentgiving in all aspects.",none
Mens Footwear,none
 Cat's Eye Beads ,none
Trending Style! Sold 4 times today,social_proof
 Women's Summer New Clerk Large Size Loose Cotton And Linen Blouse ,none
Diamond Nose Studs ,none
 Our Story ,none
Get 20% off Sample Doors! ×Offer Ends In 58 : 29 Use Promo Code sample20off,urgency
"no thanks, I like paying full price",misdirection
Only 4 left!,scarcity
 Crystal Beads ,none
I don’t want to upgrade my experience.,confirmshaming
Kicks Remotes,none
3 Left,scarcity
Limited stock Only 2 left,scarcity
BOTTLES LEFT 3,scarcity
"The site was easy to navigate. I haven't received my shoes yet, but overall a good experience.",none
8 items left,scarcity
Carpet Python Vivariums,none
"Jeremy in Warroad, United States purchased a",social_proof
NRA Annual Meetings & Exhibits,none
Romper Swimwear,none
Current Offers,none
"Someone in Petaling Jaya, Malaysia just bought SNEAKERGUARD Midsole Paint Marker - BOOST White",social_proof
• Recommended to be used with Downy for better long lasting freshness ,none
LIMITED TIME ONLY *on select models,urgency
How about one of these hot sellers?,misdirection
 Low Price Guarantee ,none
IN 43 PEOPLE'S SHOPPING BAG,social_proof
only 5 left,scarcity
 Please click ,none
Grey Jewelry,none
Over 38 bought,social_proof
Someone in United States just purchased a,social_proof
No I don't feel lucky,misdirection
"Don't miss out, only 2 left in stock",scarcity
Price drops in 0:02:30 – buy before timer ends!,fake_urgency
 Accessories Collection ,none
Chatting,none
Select Occasion close,none
Clarity Remotes,none
 Resend One time Pin ,none
I don’t care about exclusive benefits.,confirmshaming
Womens Plaid Clothing,none
Pay With:,none
"Package RecyclingWe do try when possible to reuse packaging from our own suppliers in order to send purchased items to our customers, we ask if the packaging is still in good condition after you've received your goods then please try to use it again or recycle if not possible.",none
"128 sold today! Hurry, only a few left!",scarcity
Our customers say Excellent,fake_scarcity
Full HD 144Hz IPS Anti-Glare (1920 x 1080) FREE Upgrade (Limited time offer!),urgency
Wall Mounted Air Conditioners,none
Material: Made with Cordura fabric,none
Only 1 piece left.,scarcity
 Fashion Bags ,none
Explosive Offers! 80% Off Everything 07:25:41,urgency
78 Persons looking for this product,social_proof
FOR A LIMITED TIME ONLY,urgency
Hurry! Only 1 Left In Stock,scarcity
Quick Navigation,none
Sellout risk:,scarcity
Make mistake-free writing your superpower.,none
Expires in 09h:08m,fake_urgency
"No, I don’t want better performance.",confirmshaming
Christian Dior,none
"No thanks, I don't like getting free stuff.",misdirection
Only 9 Left!,scarcity
Order Subtotal $19.99 Standard Delivery $12.99 Care & Handling $2.99 Tax $2.38 Total $38.35 Savings Today $10.00,hidden_subscription
"By contacting sales, you agree to the Terms and Conditions and Privacy Policy. California residents, see our CA Privacy Notice.",none
lego harry potter,none
Product Tagline,none
Harry Potter ,none
Arrow,none
"SALE ENDS IN 19 DAYS, 9 HOURS, 50 MINUTES, 54 SECONDS",urgency
HURRY! LESS THAN 129 LEFT.,scarcity
Shop All Golf Balls,none
Your order has been reserved for,urgency
Merchandise: $69.99iService Charge: $14.99 Total Before Tax: $84.98 Estimated Tax:$5.63Order Total: $90.61,hidden_subscription
"Shopper from Saint John, NB viewed Lenovo ThinkCentre M710t 10M9000RUS Desktop Computer 3 minutes ago!",social_proof
View All Tops,none
TVs,none
Only 4 items left in stock.,scarcity
LIMITED TIME ONLY,urgency
 Electric Daisy ,none
 Kyanite Beads ,none
"30-day free, then ₹2499 auto-renew annually.",hidden_subscription
Color Block,none
Work With More Buyers And Sellers?,none
"Someone in Saint Kilda, Victoria purchased Frank Queen Size Bed Base",social_proof
Returns / Warranty,none
"No thanks, I’ll stick with basic features.",confirmshaming
Big Saving Days,none
 Printed Long Sleeves Casual Blouse For Women ,none
No thanks I definitely measured correctly,misdirection
Hurry Up ! Time is running out,urgency
Limited quantity! ,scarcity
Nightforce New Year Clearance,none
FREE* Kimono Dress & Japanese Treats with Holiday Package Bookings,none
Only 8 left – hurry before they're gone.,fake_scarcity
Starts in 23h:25m,fake_urgency
Medium AI preference default selection,none
International Shipping Policy,none
"Jonathan in Syracuse, United States just bought Electric Skateboard Battery Pack 36V 10S2P 4 hours ago",social_proof
"HURRY, ONLY 1 LEFT!",scarcity
SAVE 10% On All Orders. No Voucher Code Needed Expires in 18:07:59.,urgency
現代奴隷法に対する透明性に関する声明 (opens in a new tab),none
 View all Ink categories ,none
"Ends in 1 Days, 4 Minutes, 44 Seconds",urgency
Order without free membership $69.95,misdirection
Only 1 left in online stock,scarcity
 Explore more styles from this printspiration ,none
View your order history,none
Items in your cart are selling fast,scarcity
Low in stock: only 1 left.,scarcity
Become an Affiliate,none
 #CERTIFIED_FACE_MASKS ,none
Bathroom Basins,none
"Click here to use our website with more accessibility support, for example screen readers",none
Flexible ticket upgrade available,none
Macro Focussing Rails,none
Limited time - Free Shipping on all orders*,urgency
 Laundry & Cleaning ,none
ONLY 4 LEFT,scarcity
(ONLY 1 LEFT IN THIS SIZE!),scarcity
Warm Tips,none
✕,none
 Casual V-Neck Sleeveless T-Shirt ,none
STAY IN THE LOOP!,none
Free Embroidery Patterns,none
 Data Processor: Amobee ,none
         Customers report 17x ROI across every workflow and team. See how these departments make an impact with Grammarly.,fake_scarcity
I WANT TO PAY MORE LATER ;),misdirection
Less than 10 left!,scarcity
Cropped Jeans,none
" Born for adventures across land, desert, and ice. Cruise over Tarmac-free roads or adapt it to be your 'do anything' commuter. ",none
Get Up to INR 7500 Cashback*,none
Black Jeans,none
Reloading & Ammunition,none
"Items in your cart are in high demand, but we have reserved your order.",scarcity
Last chance – offer expires in 5 minutes!,fake_urgency
Use the domain shortly after payment,none
Jewelry Care Kit,none
"Due To HIGH Demand, Cart Expires In: 08:41",urgency
"Mounif in Pittsburgh, United States purchased",social_proof
"Prior to the automatic renewal and billing, we will notify you in advance (via the email you used at the time of enrollment) of (i) the pending renewal, (ii) the then current fees and charges applicable to the Passport Program, and (iii) where you may find more information about the Passport Program. We will also send you an additional email confirming your renewal. Should you elect not to renew your Membership, you may cancel at any time prior to the renewal by emailing us at passportmembership@1800flowers.com and your credit/debit card on file with us will not be charged. A confirmation email will be sent to you.",obstruction
Trusted by 1lakh+ users,fake_scarcity
SELLING FAST! GET 10% OFF THIS ITEM. ACTIVATE NOW.,scarcity
Pick the price that matches your budget. ,none
Anaheim DucksArizona CoyotesCalgary FlamesChicago BlackhawksColorado AvalancheDallas StarsEdmonton OilersLos Angeles KingsMinnesota Wild,none
"No Thanks, I Don't Like Exclusive Offers.",misdirection
Hurry! Almost Sold Out...,scarcity
Nicholas Kirkwood,none
"Laurie in Urraween, Queensland bought No Brainer USB Charging Anti-Theft Backpack",social_proof
"Only 2 left, order soon",scarcity
 New Arrivals,none
Manufacturer warranty included for 1 year.,none
Hurry up! 22 people other than you have this product in their cart,social_proof
Packed with Super Citrimax,none
Favored By: 400 people!,social_proof
 All Brands A-Z ,none
24 people currently interested,social_proof
"Click here to cancel – wait, you must call us first to verify.",obstruction
 Redirecting to Futech Deals for secure checkout... ,none
"NEW CUSTOMER OFFER Upto ₹7,500 Cashback!",none
Upto ₹1000 OFF* on Outstation Cabs,none
12% discount applied,none
Other Items On Special Offer:,misdirection
Only 26 Left,scarcity
"Keyboard Navigation Profile (Motor-Impaired): this profile enables motor-impaired persons to operate the website using the keyboard Tab, Shift+Tab, and the Enter keys. Users can also use shortcuts such as “M” (menus), “H” (headings), “F” (forms), “B” (buttons), and “G” (graphics) to jump to specific elements.",none
Price increase in 0:00:40 – buy immediately!,fake_urgency
Accuscreens,none
Only 1 Left,scarcity
You must fill a cancellation form and wait 7 days for processing.,obstruction
Crochet Baby Patterns,none
Accept All Cookies,hidden_subscription
 Charity Collection ,none
FREE SHIPPING FOR A LIMITED TIME | PRICES ARE IN USD AND INCLUDE ALL IMPORT DUTIES.,urgency
 ALL SALE ,none
Add to Your Gift and We'll Ship it For Free!,misdirection
Already have an account?,none
Not sold separately,none
52 people are looking at this right now.,social_proof
Sell and get 4% extra value,none
"No thanks, I prefer to pay full price.",misdirection
WARNING! Only 5 left in stock!,scarcity
Other 2 customers have it in their cart.,social_proof
Start your free experience today. No charges now.,hidden_subscription
Either because we're updating the site or because someone spilled coffee on it again. We'll be back just as soon as we finish the update or clean up the coffee.,none
0:44:56,urgency
Your shopping cart is empty.,none
In stock | 44 left,scarcity
I don't like discounts,misdirection
"With exclusive prices, our packages save you both time and money.",none
Great choice!,none
Help us #savethefishies.,none
"No thanks, I don't like free stuff",misdirection
 Rudraksha Recommendations ,none
"No thanks, I don't want 15% off",misdirection
CareersAbout UsAffiliatesPrivacy SettingsAdvertise with usHelpSite map,none
BMW Remotes,none
Search by category,none
 Cable Winders ,none
Special Offers,none
"Once a celebrated author of short stories now in his twilight years, ",none
38 people are viewing this,social_proof
"NO THANKS, I DON'T LIKE FREE STUFF",misdirection
 View All Parts ,none
"No Thanks, I'd Rather Pay Full Price",misdirection
Graphic Tanks,none
Sponsored,none
Someone in Egypt bought,social_proof
Was this product description useful?YesNo,none
Your selected plan includes automatic billing every billing cycle.,hidden_subscription
Reloading Tools,none
Hurry! Only 2 left!,scarcity
Don't want an extra year of coverage? Proceed.,confirmshaming
 Safe & Secure Checkout ,none
 Personalised Gifts ,none
or,none
"Grab Up To ₹10,000 OFF* on booking your first holiday package.",none
Custom Kids Headwear,none
Only 8 left – almost gone forever.,fake_scarcity
 Short Sleeve Dresses ,none
We value your input. Share your review so everyone else can enjoy it too.,none
"Buy ₹750 more, save extra ₹75",none
"No, thanks, I´d rather pay more",misdirection
Only 3 left In Stock,scarcity
"Someone from Cape Town, Western Cape, South Africa just started buying Packable Travel Duffel Bag! 5 minutes ago",social_proof
Send as giftexpand_more,none
Only 1 left in stock! Order soon!,scarcity
00DAYS02HRS14MINS1211SEC,urgency
Offer expires in 0:01:15 – don't miss this deal!,fake_urgency
"You may cancel your Minted More membership at any time by contacting Minted Customer Service at www.minted.com/help. If you cancel your membership before your Minted More gift box has shipped, we will refund your full membership fee; provided that we may charge you (or withhold from your refund) the value of Minted More discount benefits used by you and your account prior to cancellation. If you cancel at any other time, your membership fee is non-refundable.",obstruction
Limited Time Remaining!,urgency
More Info,none
"the home is in the top 10% of the eligible listings based on reatings,review and reliability",fake_scarcity
CHF,none
Your subscription will renew automatically at ₹999/month unless you cancel.,forced_continuity
5 in stock,scarcity
LIMITED TIME BLOW OUT SALE UP TO 70% OFF! 110% BEST PRICE GUARANTEE!,urgency
 Cooling & Air Treatment ,none
Only 1 Left in Stock!,scarcity
ONLY 4 LEFT IN STOCK,scarcity
Report a Fake Product,none
210+ bought,social_proof
"No Thanks, I'll Pay Full Price",misdirection
User interface customization persistent cookies are used to store a user’s preference regarding a service. Please note that these cookies are exempt from consent.,none
"Jim in Houston, USA purchased Pure Ratios: Hemp Oil CBD Patch (40mg CBD)",social_proof
"Awhi from Hicks Bay, Gisborne, New Zealand just bought",social_proof
Only 8 left!,scarcity
"No, I'll rather pay full price.",misdirection
All Womens Accessories,none
 Best Deals of the Month: April Edition ,none
Your plan includes seamless auto-renewal at ₹1299/year.,forced_continuity
Someone bought: HYPE BLUE LARGE SPLAT KIDS LEGGINGS,social_proof
"No thanks, I don’t like saving money.",misdirection
99 people are looking at this right now,social_proof
Customers also bought,misdirection
Hurry! Only 2 left,scarcity
Wyse Thin Client,none
"no thanks, I don't like to save",misdirection
POPULAR 64 others checked this out in the last few hours.,social_proof
 adidas Originals Stan Smith ,none
